Object Identifier;REQ_Revision;Object_Type;Change_Indication;Object_Status;Implementation_Plan;Verification_Criteria;Safety_Level
BMW-mPADCP-SWS-SwcFaultMgr-2092;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_2874;QM
BMW-mPADCP-SWS-SwcFaultMgr-2093;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_2875;QM
BMW-mPADCP-SWS-SwcFaultMgr-1402;1;Requirement;Changed;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_4299;QM
BMW-mPADCP-SWS-SwcFaultMgr-35;2;Requirement;Changed;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3831;QM
BMW-mPADCP-SWS-SwcFaultMgr-36;3;Requirement;Changed;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3881;QM
BMW-mPADCP-SWS-SwcFaultMgr-37;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3883;QM
BMW-mPADCP-SWS-SwcFaultMgr-38;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3989;QM
BMW-mPADCP-SWS-SwcFaultMgr-41;1;Constraint;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_4169;QM(B)
BMW-mPADCP-SWS-SwcFaultMgr-42;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_4170;QM(B)
BMW-mPADCP-SWS-SwcFaultMgr-44;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_4172;QM(B)
BMW-mPADCP-SWS-SwcFaultMgr-45;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_4173;QM(B)
BMW-mPADCP-SWS-SwcFaultMgr-50;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3648;QM
BMW-mPADCP-SWS-SwcFaultMgr-51;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3649;QM
BMW-mPADCP-SWS-SwcFaultMgr-52;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3650;QM
BMW-mPADCP-SWS-SwcFaultMgr-54;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3651;QM
BMW-mPADCP-SWS-SwcFaultMgr-56;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3509;QM
BMW-mPADCP-SWS-SwcFaultMgr-57;1;Requirement;Added;Approved;Not_Set;BMW_mPAD_SRS_Power_management_3510;QM
BMW-mPADCP-SWS-SwcFaultMgr-58;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_4045;QM
BMW-mPADCP-SWS-SwcFaultMgr-59;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3511;QM
BMW-mPADCP-SWS-SwcFaultMgr-60;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3875;QM
BMW-mPADCP-SWS-SwcFaultMgr-61;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3507;QM
BMW-mPADCP-SWS-SwcFaultMgr-1406;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3809;QM
BMW-mPADCP-SWS-SwcFaultMgr-1407;2;Requirement;Changed;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3516;QM
BMW-mPADCP-SWS-SwcFaultMgr-2095;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_2877;QM
BMW-mPADCP-SWS-SwcFaultMgr-2096;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_2926;QM
BMW-mPADCP-SWS-SwcFaultMgr-66;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3656;QM
BMW-mPADCP-SWS-SwcFaultMgr-67;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3811;QM
BMW-mPADCP-SWS-SwcFaultMgr-1409;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_2884;QM
BMW-mPADCP-SWS-SwcFaultMgr-68;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3877;QM
BMW-mPADCP-SWS-SwcFaultMgr-2098;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_2881;QM
BMW-mPADCP-SWS-SwcFaultMgr-2099;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_2883;QM
BMW-mPADCP-SWS-SwcFaultMgr-2100;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_2885;QM
BMW-mPADCP-SWS-SwcFaultMgr-2101;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_2886;QM
BMW-mPADCP-SWS-SwcFaultMgr-2102;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_2887;QM
BMW-mPADCP-SWS-SwcFaultMgr-1411;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3807;QM
BMW-mPADCP-SWS-SwcFaultMgr-74;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_4046;QM
BMW-mPADCP-SWS-SwcFaultMgr-1412;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3525;QM
BMW-mPADCP-SWS-SwcFaultMgr-2104;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_2890;QM
BMW-mPADCP-SWS-SwcFaultMgr-2105;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_2891;QM
BMW-mPADCP-SWS-SwcFaultMgr-2106;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_2892;QM
BMW-mPADCP-SWS-SwcFaultMgr-2107;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_2893;QM
BMW-mPADCP-SWS-SwcFaultMgr-2108;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_2894;QM
BMW-mPADCP-SWS-SwcFaultMgr-78;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3530;QM
BMW-mPADCP-SWS-SwcFaultMgr-79;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3532;QM
BMW-mPADCP-SWS-SwcFaultMgr-80;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3533;QM
BMW-mPADCP-SWS-SwcFaultMgr-81;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3535;QM
BMW-mPADCP-SWS-SwcFaultMgr-82;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_4177;QM(B)
BMW-mPADCP-SWS-SwcFaultMgr-83;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_4178;QM(B)
BMW-mPADCP-SWS-SwcFaultMgr-84;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_4179;QM(B)
BMW-mPADCP-SWS-SwcFaultMgr-86;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_4181;QM(B)
BMW-mPADCP-SWS-SwcFaultMgr-90;2;Requirement;Changed;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3542;QM
BMW-mPADCP-SWS-SwcFaultMgr-91;3;Requirement;Changed;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3543;QM
BMW-mPADCP-SWS-SwcFaultMgr-1596;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_4490;QM
BMW-mPADCP-SWS-SwcFaultMgr-1597;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_4491;QM
BMW-mPADCP-SWS-SwcFaultMgr-1598;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_4492;QM
BMW-mPADCP-SWS-SwcFaultMgr-1599;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_4493;QM
BMW-mPADCP-SWS-SwcFaultMgr-1419;1;Constraint;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3985;QM
BMW-mPADCP-SWS-SwcFaultMgr-1420;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3886;QM
BMW-mPADCP-SWS-SwcFaultMgr-1421;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3887;QM
BMW-mPADCP-SWS-SwcFaultMgr-1422;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3888;QM
BMW-mPADCP-SWS-SwcFaultMgr-1423;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3889;QM
BMW-mPADCP-SWS-SwcFaultMgr-1424;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3890;QM
BMW-mPADCP-SWS-SwcFaultMgr-1425;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3891;QM
BMW-mPADCP-SWS-SwcFaultMgr-1426;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3892;QM
BMW-mPADCP-SWS-SwcFaultMgr-1427;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3893;QM
BMW-mPADCP-SWS-SwcFaultMgr-1429;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_4363;QM
BMW-mPADCP-SWS-SwcFaultMgr-1430;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_4364;QM
BMW-mPADCP-SWS-SwcFaultMgr-1431;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_4365;QM
BMW-mPADCP-SWS-SwcFaultMgr-1432;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_4366;QM
BMW-mPADCP-SWS-SwcFaultMgr-1433;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_4367;QM
BMW-mPADCP-SWS-SwcFaultMgr-1434;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_4368;QM
BMW-mPADCP-SWS-SwcFaultMgr-1435;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_4369;QM
BMW-mPADCP-SWS-SwcFaultMgr-1436;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_4370;QM
BMW-mPADCP-SWS-SwcFaultMgr-1437;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_4371;QM
BMW-mPADCP-SWS-SwcFaultMgr-1438;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_4372;QM
BMW-mPADCP-SWS-SwcFaultMgr-1440;1;Requirement;Added;Approved;23-11_R-460;BMW_mPAD_CP_SRS_Power_management_4429;QM
BMW-mPADCP-SWS-SwcFaultMgr-1441;1;Requirement;Added;Approved;23-11_R-460;BMW_mPAD_CP_SRS_Power_management_4430;QM
BMW-mPADCP-SWS-SwcFaultMgr-1450;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3919;QM(B)
BMW-mPADCP-SWS-SwcFaultMgr-1451;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3920;QM(B)
BMW-mPADCP-SWS-SwcFaultMgr-1452;1;Constraint;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3921;QM(B)
BMW-mPADCP-SWS-SwcFaultMgr-1453;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3922;QM(B)
BMW-mPADCP-SWS-SwcFaultMgr-1454;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3923;QM(B)
BMW-mPADCP-SWS-SwcFaultMgr-1455;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3924;QM(B)
BMW-mPADCP-SWS-SwcFaultMgr-101;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3930;QM
BMW-mPADCP-SWS-SwcFaultMgr-102;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3931;QM
BMW-mPADCP-SWS-SwcFaultMgr-103;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3932;QM
BMW-mPADCP-SWS-SwcFaultMgr-1466;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_4434;QM
BMW-mPADCP-SWS-SwcFaultMgr-1445;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3913;QM
BMW-mPADCP-SWS-SwcFaultMgr-1446;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3914;QM
BMW-mPADCP-SWS-SwcFaultMgr-1447;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3915;QM
BMW-mPADCP-SWS-SwcFaultMgr-1448;1;Constraint;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3916;QM
BMW-mPADCP-SWS-SwcFaultMgr-1458;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_4213;QM
BMW-mPADCP-SWS-SwcFaultMgr-1459;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_4214;QM
BMW-mPADCP-SWS-SwcFaultMgr-1460;1;Constraint;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_4215;QM
BMW-mPADCP-SWS-SwcFaultMgr-1461;1;Constraint;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_4216;QM
BMW-mPADCP-SWS-SwcFaultMgr-1462;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_4217;QM
BMW-mPADCP-SWS-SwcFaultMgr-1463;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_4218;QM
BMW-mPADCP-SWS-SwcFaultMgr-2126;1;Constraint;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_936;QM
BMW-mPADCP-SWS-SwcFaultMgr-2127;1;Constraint;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_937;QM
BMW-mPADCP-SWS-SwcFaultMgr-2121;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_931;QM
BMW-mPADCP-SWS-SwcFaultMgr-2122;1;Constraint;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_932;QM
BMW-mPADCP-SWS-SwcFaultMgr-2123;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_933;QM
BMW-mPADCP-SWS-SwcFaultMgr-2124;1;Constraint;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_934;QM
BMW-mPADCP-SWS-SwcFaultMgr-2119;1;Constraint;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_923;QM
BMW-mPADCP-SWS-SwcFaultMgr-2116;1;Constraint;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_916;QM
BMW-mPADCP-SWS-SwcFaultMgr-2117;1;Constraint;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_917;QM
BMW-mPADCP-SWS-SwcFaultMgr-1472;1;Constraint;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_913;QM
BMW-mPADCP-SWS-SwcFaultMgr-1475;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_2304;QM
BMW-mPADCP-SWS-SwcFaultMgr-2130;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_940;QM
BMW-mPADCP-SWS-SwcFaultMgr-2131;1;Constraint;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_941;QM
BMW-mPADCP-SWS-SwcFaultMgr-2132;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_955;QM
BMW-mPADCP-SWS-SwcFaultMgr-2133;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_952;QM
BMW-mPADCP-SWS-SwcFaultMgr-2134;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_953;QM
BMW-mPADCP-SWS-SwcFaultMgr-2443;1;Requirement;Added;Approved;23-11_R-420;BMW_mPAD_CP_SRS_Power_management_7416;QM
BMW-mPADCP-SWS-SwcFaultMgr-2444;1;Requirement;Added;Approved;23-11_R-420;BMW_mPAD_CP_SRS_Power_management_7417;QM
BMW-mPADCP-SWS-SwcFaultMgr-2445;1;Requirement;Added;Approved;23-11_R-420;BMW_mPAD_CP_SRS_Power_management_7418;QM
BMW-mPADCP-SWS-SwcFaultMgr-2446;1;Requirement;Added;Approved;23-11_R-420;BMW_mPAD_CP_SRS_Power_management_7419;QM
BMW-mPADCP-SWS-SwcFaultMgr-2447;1;Requirement;Added;Approved;23-11_R-420;BMW_mPAD_CP_SRS_Power_management_7420;QM
BMW-mPADCP-SWS-SwcFaultMgr-2448;1;Requirement;Added;Approved;23-11_R-420;BMW_mPAD_CP_SRS_Power_management_7421;QM
BMW-mPADCP-SWS-SwcFaultMgr-1477;1;Requirement;Added;Approved;23-11_R-340;BMW_mPAD_CP_SRS_Power_management_3244;QM
BMW-mPADCP-SWS-SwcFaultMgr-1478;1;Requirement;Added;Approved;23-11_R-340;BMW_mPAD_CP_SRS_Power_management_3245;QM
BMW-mPADCP-SWS-SwcFaultMgr-2136;3;Requirement;Added;Approved;23-11_R-340;BMW_mPAD_CP_SRS_Power_management_945;QM
BMW-mPADCP-SWS-SwcFaultMgr-2137;3;Requirement;Added;Approved;23-11_R-340;BMW_mPAD_CP_SRS_Power_management_947;QM
BMW-mPADCP-SWS-SwcFaultMgr-2450;1;Requirement;Added;Approved;23-11_R-420;BMW_mPAD_CP_SRS_Power_management_7423;QM
BMW-mPADCP-SWS-SwcFaultMgr-2153;2;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_2054;QM
BMW-mPADCP-SWS-SwcFaultMgr-2154;2;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_2055;QM
BMW-mPADCP-SWS-SwcFaultMgr-2141;1;Requirement;Added;Approved;23-11_R-300;BMW_mPAD_CP_SRS_Power_management_4987;QM
BMW-mPADCP-SWS-SwcFaultMgr-2142;1;Requirement;Added;Approved;23-11_R-300;BMW_mPAD_CP_SRS_Power_management_4988;QM
BMW-mPADCP-SWS-SwcFaultMgr-2143;1;Requirement;Added;Approved;23-11_R-300;BMW_mPAD_CP_SRS_Power_management_4989;QM
BMW-mPADCP-SWS-SwcFaultMgr-2144;1;Requirement;Added;Approved;23-11_R-300;BMW_mPAD_CP_SRS_Power_management_4990;QM
BMW-mPADCP-SWS-SwcFaultMgr-2145;1;Requirement;Added;Approved;23-11_R-300;BMW_mPAD_CP_SRS_Power_management_4991;QM
BMW-mPADCP-SWS-SwcFaultMgr-1481;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3495;QM
BMW-mPADCP-SWS-SwcFaultMgr-1482;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3496;QM
BMW-mPADCP-SWS-SwcFaultMgr-1483;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_918;QM
BMW-mPADCP-SWS-SwcFaultMgr-1490;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_1796;QM
BMW-mPADCP-SWS-SwcFaultMgr-1491;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_1797;QM
BMW-mPADCP-SWS-SwcFaultMgr-1492;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_1798;QM
BMW-mPADCP-SWS-SwcFaultMgr-2151;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3149;QM
BMW-mPADCP-SWS-SwcFaultMgr-109;7;Requirement;Changed;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3023;QM
BMW-mPADCP-SWS-SwcFaultMgr-111;6;Requirement;Changed;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3025;QM
BMW-mPADCP-SWS-SwcFaultMgr-115;10;Requirement;Changed;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3029;QM
BMW-mPADCP-SWS-SwcFaultMgr-119;9;Requirement;Changed;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_3033;QM
BMW-mPADCP-SWS-SwcFaultMgr-2507;1;Requirement;Added;Approved;23-11_R-340;BMW_mPAD_CP_SRS_Power_management_6184;QM
BMW-mPADCP-SWS-SwcFaultMgr-2509;1;Requirement;Added;Approved;23-11_R-400;BMW_mPAD_CP_SRS_Power_management_6185;QM
BMW-mPADCP-SWS-SwcFaultMgr-2511;1;Requirement;Added;Approved;23-11_R-340;BMW_mPAD_CP_SRS_Power_management_5738;QM
BMW-mPADCP-SWS-SwcFaultMgr-2515;1;Requirement;Added;Approved;23-11_R-340;BMW_mPAD_CP_SRS_Power_management_5740;QM
BMW-mPADCP-SWS-SwcFaultMgr-1496;1;Requirement;Changed;Approved;23-11_R-440;BMW_mPAD_CP_SRS_Power_management_2032;QM
BMW-mPADCP-SWS-SwcFaultMgr-1498;7;Requirement;Added;Approved;23-11_R-480;BMW_mPAD_CP_SRS_Power_management_3841;QM
BMW-mPADCP-SWS-SwcFaultMgr-1502;1;Requirement;Added;Approved;23-11_R-480;BMW_mPAD_CP_SRS_Power_management_2940;QM
BMW-mPADCP-SWS-SwcFaultMgr-1504;1;Requirement;Added;Approved;23-11_R-460;BMW_mPAD_CP_SRS_Power_management_3479;QM
BMW-mPADCP-SWS-SwcFaultMgr-1506;1;Requirement;Added;Approved;23-11_R-440;BMW_mPAD_CP_SRS_Power_management_2942;QM
BMW-mPADCP-SWS-SwcFaultMgr-1508;2;Requirement;Changed;Approved;23-11_R-460;BMW_mPAD_CP_SRS_Power_management_2949;QM
BMW-mPADCP-SWS-SwcFaultMgr-2495;1;Requirement;Added;Approved;23-11_R-440;BMW_mPAD_CP_SRS_Power_management_5688;QM
BMW-mPADCP-SWS-SwcFaultMgr-2167;1;Requirement;Added;Approved;23-11_R-220;BMW_mPAD_CP_SRS_Power_management_2776;QM
